user	item	real	pred
535	255	2.5	2.7541125
535	205	1.5	2.1797879
535	8	4.0	2.3579762
535	257	0.5	2.9101748
535	17	1.5	4.303298
535	7	4.0	3.043739
535	214	3.5	3.7421937
535	252	3.5	4.895129
782	219	2.0	2.320887
782	250	4.0	2.3084214
782	13	2.0	1.8599614
782	215	4.0	1.5055417
188	829	0.5	2.5520961
188	1	4.0	2.2855103
188	816	4.0	5.849513
188	70	0.5	3.8013015
188	746	4.0	4.655994
188	839	4.0	3.177719
188	760	3.0	1.258199
188	218	3.5	9.923762
188	583	4.0	1.2713438
188	336	3.5	4.069529
188	696	4.0	1.5273936
188	732	3.0	2.8529344
188	28	4.0	2.62122
188	694	0.5	1.7266464
188	820	1.0	2.5307732
188	810	1.5	4.116328
188	499	1.5	4.214628
188	278	4.0	3.6109087
188	196	3.5	2.3650146
188	819	4.0	2.7113452
188	812	1.5	2.7113452
188	31	4.0	7.184909
188	81	3.5	6.5680585
188	827	4.0	2.7113452
188	825	4.0	3.0779357
188	813	4.0	5.035272
502	255	2.5	4.4351583
502	248	2.0	9.110925
502	233	1.5	1.5989149
502	121	2.0	0.9983854
502	5	2.5	1.4645267
502	2	2.0	3.8538315
502	213	3.5	3.8185585
502	251	3.0	3.3936203
502	7	2.5	4.9765744
502	215	4.0	6.9077234
502	216	2.5	3.2396715
502	214	2.5	5.844282
1324	205	4.0	5.519415
1324	3	4.0	2.550457
1324	2	4.0	3.4767811
1138	255	4.0	2.188762
1138	219	3.5	1.9542503
1138	205	2.5	4.661228
1138	239	3.5	3.7752166
1138	250	3.0	0.9516492
1138	13	4.0	3.8371422
1138	233	4.0	3.882095
1138	254	3.5	4.3851204
1138	9	3.5	4.989158
1138	213	3.5	3.2972093
1138	251	3.5	2.9871902
1138	84	3.5	4.9642262
1138	216	4.0	4.231064
1138	214	3.5	5.5997376
1376	8	2.5	3.7076
1376	5	2.5	3.9732409
25	219	3.5	5.4363294
25	211	4.0	1.5695877
25	12	1.5	3.9126158
25	2	4.0	3.8534393
25	246	2.0	1.5913305
25	84	3.5	2.9831157
25	253	3.0	0.47985578
25	214	2.0	1.0135512
323	1189	4.0	3.3517091
323	245	3.5	4.396444
323	235	3.0	1.3475379
323	13	2.5	2.7717516
323	704	4.0	1.3195167
323	379	1.5	1.9834003
323	699	4.0	-3.293854
323	604	4.0	2.3217692
323	318	3.5	2.9960837
323	585	4.0	1.3768762
323	391	4.0	1.1320465
323	494	4.0	2.5819402
323	287	2.5	4.2695003
323	744	3.0	4.1690106
323	709	3.5	4.2349033
323	702	4.0	5.379958
323	769	3.0	2.0732486
323	711	4.0	4.074382
323	163	2.5	3.2701814
323	723	3.5	2.0357592
323	609	3.5	1.8460275
323	392	2.5	3.4422343
323	15	1.5	3.9607215
945	219	3.5	3.6055212
945	247	2.0	6.6840816
945	17	3.0	4.9291706
945	233	3.5	1.1284623
945	234	1.0	5.47703
945	244	2.5	4.2912555
945	217	3.0	1.3942913
945	6	4.0	3.412358
945	252	3.5	0.662863
1000	211	2.0	2.540614
1000	241	3.5	0.61537933
1000	257	1.0	1.2717777
1000	17	2.5	1.7858485
1000	10	0.5	1.8815055
1000	5	1.5	2.2732463
1000	246	1.0	1.704929
1000	217	3.0	3.2904732
1000	216	1.0	2.7648716
1000	214	2.0	2.8168213
272	8	3.5	2.4022634
272	698	2.5	2.0300307
272	946	2.5	2.4871387
272	13	3.0	3.3332274
272	945	4.0	1.7980018
272	754	3.5	2.1814551
272	70	4.0	5.858283
272	704	3.5	3.2661588
272	948	3.5	2.9439497
272	1006	2.0	2.26364
272	716	2.5	2.026074
272	932	2.5	1.4866891
272	587	1.0	0.63267255
272	292	3.5	2.5860155
272	747	2.0	2.211927
272	313	3.0	0.59400177
272	445	3.5	3.3975403
272	91	2.5	7.0907183
272	305	3.5	0.05491233
272	397	2.5	0.74561787
272	391	3.0	1.5391053
272	944	1.5	1.3827668
272	971	2.5	2.4871602
272	972	3.5	2.4871387
272	282	4.0	2.671629
272	928	3.5	1.8286879
272	1012	2.5	2.3283365
272	591	1.5	4.0424213
272	134	3.0	0.35291362
272	986	3.5	1.1304188
272	1011	2.0	2.4424329
272	806	4.0	0.8594265
272	739	3.0	4.660201
272	738	2.5	1.837371
272	750	3.0	0.87127423
272	753	2.5	3.1811132
272	724	0.5	2.2478642
272	681	1.5	1.9897859
272	964	2.5	2.4871387
272	126	3.5	2.9853678
272	1005	2.0	2.4871387
272	942	3.0	2.2215886
272	1003	1.5	-1.9367068
272	1016	1.0	1.5353231
272	686	1.5	4.3980393
272	700	0.5	3.7221212
272	982	1.0	2.4871387
272	979	3.0	2.4871387
849	1634	3.0	2.8931353
849	236	3.5	4.367256
849	2	3.5	4.2584295
849	213	3.0	2.461762
849	347	4.0	1.344156
849	1038	4.0	4.771624
849	486	3.0	3.877091
849	275	4.0	0.83331203
346	211	4.0	4.537486
346	250	3.0	5.2193933
346	245	3.0	1.9193016
346	235	1.0	3.5078578
346	257	4.0	2.1385975
346	17	3.0	4.386693
346	210	2.5	4.7559204
346	220	1.0	5.1851115
346	4	4.0	3.8148646
346	7	4.0	1.173265
346	249	2.5	3.758126
909	255	3.0	4.3609276
909	219	4.0	1.7264818
909	248	2.5	3.7961133
909	12	3.0	2.8251884
909	17	3.0	5.2267795
909	10	3.0	4.7695727
909	13	4.0	4.4393473
909	4	4.0	6.349804
909	251	3.0	3.1672628
1489	245	4.0	3.26331
1489	10	4.0	3.6573632
1489	13	2.5	3.665752
1489	11	3.0	2.8648415
1489	5	4.0	4.0842047
1489	4	4.0	1.585394
1489	217	4.0	6.2493668
1489	216	4.0	4.061127
29	286	4.0	2.7170644
29	264	3.0	3.0062733
29	218	4.0	2.4925146
29	291	4.0	6.8941545
29	305	3.0	5.4947624
29	294	3.5	-3.641198
29	306	4.0	2.4702473
29	265	3.0	4.431596
29	266	0.5	4.1022468
29	273	2.5	0.54814243
29	285	3.5	2.4702473
1368	219	3.0	5.5726824
1368	8	3.5	2.8218074
1368	1	3.5	1.9269059
1218	241	3.0	4.298021
1218	12	3.0	0.5243294
1218	10	4.0	2.8169508
1218	220	2.5	1.7167724
1218	254	3.5	4.27745
1218	251	3.5	1.1573037
1218	252	2.5	1.9123199
124	219	2.0	0.33693886
124	248	1.5	-2.1892688
124	239	2.0	2.4713304
124	241	3.5	1.7569609
124	17	3.0	0.2408197
124	11	3.5	1.7849655
124	236	2.5	2.7403126
124	2	2.5	0.9127486
124	251	3.0	2.778279
124	253	3.5	2.9177928
124	256	2.5	-0.435292
1187	255	3.5	2.8971417
1187	241	2.5	2.8873248
1187	12	2.0	2.2172143
1187	235	2.0	0.9677651
1187	243	1.5	4.952489
1187	746	3.0	0.913131
1187	242	2.5	3.540677
1187	657	3.0	1.5944768
1187	1576	4.0	4.88454
1187	318	3.0	1.8975071
1187	703	2.5	2.6794941
1187	693	2.0	3.2101324
1187	951	2.5	3.491887
1187	510	2.0	-0.46466088
1187	489	2.5	3.7052398
1187	414	3.5	2.2323744
1187	1178	3.0	3.106522
1187	73	3.0	3.5031326
1187	744	2.5	2.9358714
1187	1892	3.0	2.8476274
1187	682	3.0	2.8476274
1187	1922	3.0	2.8476274
1187	638	3.5	3.5349782
1187	1890	4.0	2.8476274
1187	1899	3.5	2.847572
1187	1896	3.0	2.8476274
1187	1221	3.0	5.37426
1187	738	2.0	3.1913204
1187	1923	3.0	2.8476274
1187	341	1.0	2.0423536
1187	536	3.0	2.3685024
1187	365	3.0	0.931628
1187	454	3.0	2.0698357
1187	1903	3.0	2.8476274
1187	761	2.0	2.9036362
1187	725	3.0	2.434976
1187	29	2.0	1.2598695
1187	947	2.0	0.4338553
1187	167	3.0	2.6295984
1187	1891	2.5	2.8476274
896	205	4.0	3.3269703
896	250	4.0	5.8979125
896	247	4.0	3.382317
896	257	4.0	6.1744223
896	233	4.0	4.737136
896	3	4.0	3.7627115
896	206	4.0	4.7703743
896	2	4.0	4.5904827
896	254	4.0	7.2936172
896	251	4.0	5.0056977
896	246	4.0	6.9907646
896	253	4.0	5.8160915
896	252	4.0	6.5923977
988	219	3.0	1.6771196
988	250	2.5	0.8533156
988	12	3.5	4.208588
988	245	2.5	4.261184
988	247	2.0	1.8981286
988	1	3.0	2.5550425
988	234	1.5	0.68854094
988	206	2.0	-0.4212544
988	212	1.0	-0.3669517
988	2	1.0	1.6358178
988	7	4.0	3.2640672
988	217	1.5	0.76394725
988	215	1.5	1.6364206
988	249	1.5	2.907259
754	257	3.0	0.122005224
754	5	4.0	3.7795851
666	205	3.0	2.867308
666	17	2.0	-1.0696304
666	10	2.0	2.5565639
666	244	2.5	3.771635
666	5	3.5	2.1548414
666	213	3.0	0.5804875
666	246	3.5	2.043293
666	84	3.5	3.078788
666	216	3.0	2.720096
666	207	2.5	3.588218
1070	210	3.5	2.4076781
